Depthm,Salnty,T_degC
200,34.34,11.1
230,34.34,10.85
250,34.357,10.58
300,34.389,9.81
303,34.39,9.76
395,34.35,8.4
400,34.346,8.32
500,34.287,6.8
517,34.28,6.54
0,33.7,22.48
9,33.71,22.45
10,33.708,22.4
20,33.691,21.88
28,33.68,21.46
30,33.681,21.03
47,33.81,17.3
50,33.847,17.0
70,34.04,15.94
75,34.043,15.73
94,34.06,14.95
0,33.75,22.62
9,33.71,22.58
10,33.707,22.57
20,33.691,22.46
28,33.69,22.36
30,33.692,22.34
47,33.71,22.16
50,33.693,21.83
71,33.57,18.44
75,33.561,17.64
94,33.62,13.82
0,33.68,22.59
8,33.69,22.55
10,33.692,22.5
20,33.703,22.23
26,33.71,22.07
30,33.677,21.3
44,33.64,18.26
50,33.71,17.33
66,33.94,15.6
75,33.997,15.31
88,34.08,14.89
0,33.62,20.8
9,33.62,20.72
10,33.605,20.56
20,33.481,18.68
28,33.43,16.84
30,33.454,16.56
47,33.69,14.68
50,33.682,14.4
70,33.65,12.54
0,33.69,21.6
9,33.63,21.5
10,33.62,21.31
20,33.607,19.29
28,33.59,17.46
30,33.605,17.28
38,33.67,16.58
0,33.75,22.47
9,33.72,22.49
10,33.721,22.49
20,33.74,22.47
24,33.75,22.46
30,33.737,22.43
43,33.71,22.35
50,33.665,21.19
62,33.61,18.54
75,33.617,15.6
81,33.62,14.24
0,33.73,22.44
10,33.66,22.44
19,33.71,22.4
20,33.697,22.36
30,33.686,22.0
33,33.68,21.89
50,33.635,18.97
52,33.63,18.55
75,33.722,14.5
76,33.73,14.32
10,,
20,,
30,,
50,,
75,,
100,,
125,,
150,,
173,34.23,11.45
200,34.322,11.14
217,34.38,10.95
250,34.419,10.71
288,34.42,10.41
300,34.417,10.24
378,34.37,8.95
400,34.348,8.61
499,34.27,7.08
0,33.91,24.3
9,33.9,23.34
10,33.899,23.3
20,33.871,22.85
28,33.82,22.37
30,33.796,22.09
38,33.72,20.8
47,33.73,19.36
50,33.73,18.96
57,33.73,18.08
66,33.55,16.87
75,33.553,15.73
80,33.62,15.26
93,33.95,15.16
100,34.15,14.7
106,34.3,14.24
125,34.358,13.41
129,34.37,13.29
150,34.424,12.72
155,34.44,12.64
186,34.63,12.68
200,34.636,12.47
231,34.65,11.85
250,34.648,11.59
300,34.613,10.93
303,34.61,10.89
394,34.47,9.13
400,34.465,9.05
500,34.39,7.66
516,34.38,7.44
0,33.87,24.4
10,34.02,22.98
20,34.059,22.62
28,34.09,22.35
30,34.076,22.16
38,33.98,21.03
47,33.82,18.85
50,33.848,18.31
56,33.93,17.49
65,33.94,16.84
75,33.974,15.72
79,33.99,15.29
92,34.0,14.61
100,33.952,14.02
105,33.93,13.66
125,34.121,12.95
127,34.14,12.88
150,33.927,10.85
153,33.9,10.6
185,34.18,10.4
200,34.228,10.28
230,34.43,9.97
250,34.307,9.66
300,34.262,8.9
301,34.26,8.88
392,34.39,8.17
400,34.386,8.07
500,34.344,6.88
514,34.34,6.71
0,34.14,25.92
9,34.16,24.8
10,34.153,24.59
20,34.063,22.28
23,34.03,21.5
30,33.889,19.74
47,33.77,16.42
50,33.897,16.35
70,34.46,15.9
75,34.48,15.88
88,34.53,15.82
100,34.578,15.54
119,34.63,14.88
125,34.63,14.64
136,34.63,14.21
150,34.621,13.87
163,34.61,13.62
200,34.61,12.79
208,34.61,12.58
250,34.554,11.03
254,34.55,10.88
0,34.19,25.94
10,34.16,25.51
19,33.82,21.56
20,33.817,21.27
30,33.902,19.15
33,33.96,18.8
50,34.186,18.13
57,34.28,17.85
10,,
20,,
30,,
50,,
75,,
100,,
125,,
150,,
200,,
227,34.04,9.1
238,34.07,8.8
247,34.11,8.86
250,34.121,8.85
256,34.14,8.8
265,34.16,8.64
274,34.2,8.7
283,34.18,8.61
293,34.18,8.45
300,34.163,8.45
302,34.16,8.45
312,34.21,8.36
321,34.2,8.23
330,34.21,8.18
340,34.22,8.0
350,34.21,7.95
359,34.22,7.88
368,,7.84
378,34.22,7.77
0,33.51,21.65
1,33.51,21.65
10,33.53,21.66
20,33.347,18.87
30,33.22,15.7
40,33.15,14.7
50,33.18,13.76
60,33.22,13.01
71,33.26,12.12
75,33.274,11.94
85,33.31,11.54
99,33.37,10.56
100,33.376,10.52
114,33.47,10.09
125,33.563,9.84
135,33.64,9.66
150,33.681,9.38
164,33.71,9.15
196,33.91,8.85
200,33.927,8.82
241,34.05,8.58
250,34.073,8.51
300,34.177,8.09
315,34.2,7.96
400,34.267,7.28
410,34.27,7.2
500,34.305,6.52
534,34.32,6.26
0,33.48,21.36
10,33.49,21.36
20,33.362,19.24
28,33.27,17.05
30,33.249,16.62
43,33.17,14.32
50,33.183,13.6
52,33.19,13.44
63,33.22,12.86
72,33.31,11.95
75,33.343,11.71
91,33.49,10.74
100,33.533,10.31
105,33.55,10.12
119,33.59,9.78
125,33.634,9.62
139,33.75,9.26
150,33.814,9.06
168,33.9,8.82
200,34.037,8.52
204,34.05,8.49
250,34.098,8.03
257,34.1,7.96
300,34.171,7.69
336,34.23,7.5
400,34.29,7.11
436,34.31,6.88
500,34.317,6.46
578,34.33,5.95
0,33.51,20.41
10,33.51,20.4
20,33.365,18.07
30,33.335,15.46
34,33.3,14.34
44,33.37,13.38
50,33.392,12.8
58,33.42,12.15
69,33.48,11.68
75,33.507,11.14
78,33.52,10.86
98,33.6,9.95
100,33.62,9.86
115,33.78,9.4
125,33.837,9.43
130,33.8,9.44
150,33.925,9.01
153,33.93,8.93
189,34.06,8.75
200,34.095,8.64
226,34.16,8.36
250,34.16,8.17
282,34.16,7.94
300,34.17,7.79
368,34.22,7.22
400,34.238,7.01
477,34.28,6.58
500,34.295,6.46
600,34.362,5.92
626,34.38,5.78
0,33.45,19.14
9,33.46,19.14
10,33.458,19.12
20,33.437,18.92
28,33.42,18.76
30,33.397,18.41
47,33.28,14.98
50,33.287,14.52
70,33.4,12.26
75,33.424,12.05
94,33.52,11.23
0,33.26,18.88
9,33.31,18.85
10,33.307,18.85
20,33.279,18.87
27,33.26,18.89
30,33.247,18.3
40,33.24,16.22
50,33.25,15.37
59,33.22,14.66
69,33.21,14.06
75,33.21,13.81
86,33.21,13.08
98,33.26,11.36
100,33.274,11.2
111,33.35,10.59
125,33.411,9.88
131,33.44,9.63
150,33.627,9.22
155,33.68,9.16
200,33.957,8.47
201,33.96,8.46
250,33.989,7.77
251,33.99,7.76
300,34.066,7.15
327,34.11,6.86
400,34.145,6.41
423,34.15,6.3
500,34.211,5.81
559,34.26,5.44
0,33.25,18.86
8,33.28,18.82
10,33.275,18.82
20,33.25,18.82
24,33.24,18.82
30,33.27,18.55
36,33.3,18.28
44,33.3,16.44
50,33.288,15.59
53,33.28,15.3
62,33.28,14.87
75,33.25,14.4
79,33.24,14.24
90,33.24,13.56
100,33.326,12.63
107,33.4,11.94
125,33.47,10.58
129,33.48,10.33
150,33.58,9.63
160,33.63,9.3
0,33.17,19.23
8,33.21,19.2
10,33.207,19.19
20,33.192,19.12
28,33.18,19.06
30,33.23,18.72
37,33.4,17.42
48,33.4,15.83
50,33.391,15.71
56,33.36,15.44
64,,14.9
75,33.39,14.24
79,33.4,13.94
95,33.37,11.75
100,33.399,11.41
106,33.44,11.1
125,33.52,10.06
127,33.53,9.96
150,33.8,9.24
158,33.89,9.08
190,33.93,8.65
200,33.948,8.53
237,34.02,8.14
250,34.044,8.0
300,34.125,7.48
310,34.14,7.39
400,34.233,6.77
409,34.24,6.72
500,34.285,6.06
546,34.31,5.72
0,33.44,19.62
8,33.47,19.6
10,33.465,19.5
20,33.441,19.01
25,33.43,18.76
30,33.349,17.25
38,33.28,14.88
50,33.296,14.13
51,33.3,14.11
58,33.35,13.38
67,33.36,12.62
75,33.316,11.9
83,33.3,11.24
98,33.53,10.38
100,33.541,10.3
110,33.58,9.93
125,33.701,9.46
126,33.71,9.43
150,33.866,8.93
155,33.89,8.86
185,33.95,8.62
200,33.994,8.46
230,34.08,8.12
250,34.109,7.96
300,34.149,7.61
303,34.15,7.59
400,34.215,6.82
429,34.23,6.59
500,34.261,6.1
562,34.29,5.67
0,33.46,19.92
8,33.53,19.87
10,33.526,19.71
20,33.471,18.59
30,33.38,16.92
31,33.37,16.72
40,33.33,15.12
50,33.36,13.68
52,33.37,13.42
61,33.4,12.18
70,33.4,11.26
75,33.438,10.93
86,33.53,10.36
100,33.543,9.59
103,33.55,9.46
115,33.69,9.22
125,33.745,9.12
137,33.78,9.04
150,33.837,8.91
170,,8.7
200,34.027,8.45
204,34.04,8.42
250,34.135,7.8
254,34.14,7.74
300,34.14,7.28
332,34.14,7.02
400,34.222,6.56
435,34.27,6.36
500,34.293,6.03
574,34.32,5.66
0,33.31,19.72
10,,19.71
20,33.263,18.1
28,,16.56
30,33.258,16.36
43,33.27,15.3
50,33.236,14.68
57,33.2,14.08
65,33.17,13.45
75,33.28,12.55
93,33.33,10.72
100,33.39,10.36
110,33.49,10.04
123,33.62,9.74
125,33.63,9.7
144,33.7,9.34
150,33.738,9.23
178,33.91,8.79
200,33.977,8.57
212,34.0,8.46
250,34.054,8.0
265,34.07,7.82
300,34.121,7.48
345,34.18,7.11
400,34.224,6.77
450,34.25,6.5
500,34.263,6.22
592,34.29,5.7
0,33.53,21.72
10,33.53,21.32
20,33.406,18.21
30,33.48,14.98
40,33.34,14.24
50,33.386,13.46
51,33.39,13.38
61,33.42,12.4
71,33.48,11.6
75,33.485,11.41
85,33.5,11.1
100,33.63,10.83
114,33.74,10.66
125,33.724,10.55
138,33.75,10.45
150,33.795,10.37
167,33.86,10.27
200,33.98,10.1
247,34.02,9.07
250,34.022,9.01
300,34.057,8.18
324,34.08,7.88
400,34.232,7.47
420,34.27,7.4
500,34.286,6.66
548,34.3,6.21
0,33.39,19.36
10,33.3,16.09
20,33.6,15.24
30,33.59,14.54
40,33.37,14.28
50,33.35,13.06
69,33.48,11.78
70,33.48,11.64
75,33.503,11.5
90,33.55,11.26
93,,10.96
100,33.559,10.97
116,33.58,10.54
125,33.619,10.4
139,33.69,10.23
150,33.742,10.09
186,33.9,9.68
200,33.955,9.56
236,34.07,9.24
250,34.099,9.09
282,34.15,8.73
300,34.177,8.56
315,34.2,8.42
0,33.44,21.42
10,33.48,21.37
20,33.291,18.71
30,33.25,16.01
40,33.49,15.85
50,33.44,14.7
60,33.32,13.24
70,33.3,12.06
75,33.296,11.68
84,33.32,11.28
98,33.48,11.18
100,33.51,11.12
112,33.68,10.7
125,33.753,10.39
137,33.78,10.16
150,33.823,9.89
165,33.88,9.64
197,34.07,9.52
200,34.072,9.45
244,34.04,8.41
250,34.055,8.4
300,34.163,8.29
321,34.2,8.24
400,34.254,7.36
417,34.26,7.14
500,34.304,6.4
543,34.33,6.02
0,33.42,21.2
10,33.47,21.2
20,33.445,19.65
30,33.37,17.36
40,33.23,15.14
50,33.17,13.72
60,33.17,13.19
69,33.3,12.6
75,33.34,12.24
84,33.38,11.68
98,33.5,10.62
100,33.51,10.51
113,33.57,9.96
125,33.65,9.6
136,33.73,9.35
150,33.83,9.06
163,33.91,8.84
198,34.0,8.54
200,34.005,8.52
246,34.1,8.01
250,34.107,7.98
300,34.179,7.71
323,34.2,7.61
400,34.193,6.98
422,34.19,6.8
500,34.294,6.39
549,34.36,6.13
0,33.5,19.78
10,33.49,19.35
20,33.373,16.49
30,33.35,13.41
40,33.37,12.31
50,33.406,11.8
51,33.41,11.76
60,33.46,11.2
68,33.52,10.38
75,33.547,10.08
85,33.58,9.92
99,33.68,9.6
100,33.687,9.58
112,33.77,9.43
125,33.843,9.24
136,33.9,9.08
150,33.983,8.9
164,34.05,8.73
196,34.07,8.44
200,34.075,8.41
243,34.14,8.08
250,34.148,8.02
300,34.195,7.62
320,34.21,7.46
400,34.262,6.88
415,34.27,6.78
500,34.29,6.4
541,34.3,6.22
0,33.53,19.98
10,33.48,19.12
20,33.442,18.01
30,33.4,16.64
50,33.29,13.14
75,33.394,11.62
76,33.4,11.6
100,33.57,10.67
0,33.38,18.72
10,33.42,18.65
20,33.41,18.53
30,33.4,18.42
40,33.34,16.46
50,33.31,15.58
59,33.25,14.71
70,33.31,14.28
75,33.28,13.66
84,33.23,12.43
100,33.31,11.26
114,33.36,10.28
125,33.409,9.87
138,33.48,9.6
150,33.576,9.39
166,33.71,9.14
199,33.92,8.5
200,33.924,8.48
245,34.04,7.81
250,34.049,7.76
300,34.123,7.32
319,34.14,7.19
400,34.193,6.43
413,34.2,6.32
500,34.275,5.92
540,34.31,5.74
0,33.36,18.66
10,33.42,18.64
20,33.373,18.67
30,33.35,18.71
39,33.36,18.38
49,33.33,15.86
50,33.328,15.75
59,33.31,15.2
68,33.31,14.72
75,33.327,14.41
82,33.35,14.15
97,33.39,13.69
100,33.401,13.28
110,33.45,11.77
125,33.493,10.33
132,33.51,9.88
150,33.593,9.27
159,33.64,9.13
191,33.84,8.57
200,33.87,8.44
235,33.94,8.01
250,33.965,7.83
300,34.031,7.3
309,34.04,7.21
400,34.119,6.45
401,34.12,6.44
500,34.127,5.76
527,34.13,5.58
0,33.33,19.05
10,33.39,18.98
20,33.31,18.8
30,33.23,18.61
41,33.08,16.12
50,33.3,15.35
60,33.28,14.78
70,33.27,14.35
75,33.293,14.2
84,33.34,13.76
98,33.37,12.16
100,33.373,11.99
113,33.4,11.08
125,33.445,10.38
136,33.5,9.88
150,33.59,9.46
164,33.68,9.18
197,33.83,8.7
200,33.843,8.66
244,34.01,8.18
250,34.025,8.12
300,34.118,7.6
320,34.14,7.41
400,34.211,6.74
417,34.22,6.62
500,34.259,6.19
544,34.28,5.96
0,33.48,19.98
10,33.48,19.3
20,33.47,19.22
30,33.46,19.14
39,33.33,16.64
49,33.31,14.7
50,33.306,14.55
59,33.28,13.42
68,33.31,12.7
75,33.34,12.15
82,33.37,11.66
98,33.42,10.88
100,33.437,10.76
112,33.55,10.09
125,33.638,9.65
134,33.69,9.44
150,33.79,9.14
162,33.86,8.98
193,34.01,8.66
200,34.022,8.55
239,34.05,7.96
250,34.066,7.86
300,34.141,7.49
313,34.16,7.42
400,34.217,6.77
407,34.22,6.72
500,34.286,6.12
532,34.31,5.91
0,33.33,20.27
10,33.25,19.94
20,33.275,19.89
30,33.3,19.83
40,33.3,16.61
49,33.3,14.42
50,33.302,14.27
60,33.33,12.9
67,33.38,11.56
75,33.419,10.99
84,33.45,10.77
98,33.53,9.85
100,33.555,9.77
112,33.71,9.44
125,33.803,9.19
136,33.85,9.04
150,33.904,8.89
164,33.94,8.76
197,33.97,8.34
200,33.975,8.31
245,34.05,7.9
250,34.057,7.85
300,34.118,7.4
322,34.14,7.21
400,34.208,6.74
418,34.22,6.64
500,34.244,6.11
547,34.26,5.81
0,33.53,20.51
10,33.92,20.5
20,33.523,20.35
30,33.52,20.2
40,33.15,15.56
50,33.186,14.72
51,33.19,14.64
60,33.19,13.96
70,33.19,13.04
75,33.204,12.66
84,33.24,11.98
98,33.31,10.7
100,33.331,10.56
112,33.48,9.87
125,33.669,9.44
136,33.8,9.24
150,33.808,9.11
164,33.83,9.06
196,34.16,8.87
200,33.919,8.81
243,34.04,8.03
250,34.053,7.94
300,34.129,7.43
319,34.15,7.3
400,34.213,6.84
415,34.22,6.77
500,34.259,6.21
543,34.28,5.93
0,33.48,22.55
9,33.49,22.05
10,33.479,21.85
20,33.369,19.68
27,33.31,17.92
30,33.311,17.47
36,33.3,16.44
44,33.22,14.2
50,33.301,13.28
53,33.35,12.95
62,33.38,11.99
75,33.45,11.32
88,33.53,11.0
100,33.576,10.8
101,33.58,10.79
120,33.71,10.5
125,33.736,10.46
146,33.82,10.3
150,33.833,10.25
175,33.9,9.92
200,33.968,9.57
218,34.01,9.3
250,34.043,8.75
287,34.07,8.19
300,34.093,8.1
376,34.22,7.72
400,34.23,7.5
497,34.28,6.6
0,33.47,22.32
10,33.41,21.68
20,33.31,17.8
29,33.31,15.1
30,33.311,14.89
40,33.33,13.36
50,33.39,12.52
60,33.46,11.98
75,33.506,11.42
78,33.51,11.34
97,33.53,11.02
100,33.534,10.94
125,33.596,10.34
126,33.6,10.32
150,33.73,10.04
173,33.84,9.87
196,33.91,9.46
200,33.925,9.41
243,34.07,8.94
250,34.083,8.88
294,34.14,8.47
300,34.148,8.39
341,34.19,7.83
390,34.2,7.28
0,33.44,21.25
10,33.4,21.09
20,33.235,18.71
30,33.15,16.0
41,33.18,14.79
49,33.22,13.52
50,33.238,13.44
60,33.38,12.69
69,33.31,11.33
75,33.433,11.31
83,33.55,11.28
98,33.58,10.92
100,33.593,10.89
112,33.67,10.74
125,33.702,10.48
135,33.72,10.26
150,33.792,10.0
164,33.86,9.74
196,33.93,8.84
200,33.952,8.83
244,34.13,8.76
250,34.136,8.7
300,34.137,8.11
321,34.14,7.83
400,34.227,7.36
419,34.25,7.26
500,34.297,6.37
548,34.33,5.84
0,33.44,20.41
10,33.43,20.38
20,33.398,19.84
30,33.37,19.31
45,33.15,14.58
50,33.15,13.98
55,33.15,13.6
66,33.22,12.56
75,33.292,11.89
76,33.3,11.82
95,33.48,10.44
100,33.507,10.28
110,33.55,10.05
124,33.63,9.6
125,33.636,9.58
148,33.76,9.16
150,33.77,9.14
176,33.89,8.87
200,33.981,8.56
213,34.02,8.38
250,34.062,7.93
266,34.07,7.76
300,34.121,7.53
347,34.19,7.29
400,34.233,6.94
447,34.26,6.64
500,34.285,6.37
590,34.33,5.9
0,33.39,20.02
10,33.38,19.74
20,33.243,17.24
30,33.2,14.45
45,33.33,13.1
50,33.32,13.01
55,33.31,12.92
65,33.38,12.16
74,33.42,11.45
75,33.428,11.36
93,33.59,10.0
100,33.626,9.75
107,33.66,9.59
121,33.77,9.35
125,33.796,9.28
144,33.89,8.98
150,33.909,8.94
172,33.96,8.85
200,34.023,8.63
209,34.04,8.54
250,34.091,8.11
261,34.1,8.0
300,34.112,7.69
340,34.12,7.41
400,34.177,6.98
439,34.22,6.71
500,34.266,6.37
580,34.33,5.92
0,33.47,19.08
9,33.44,19.28
10,33.436,19.22
20,33.393,18.29
28,33.36,17.06
30,33.347,16.69
47,33.3,13.62
50,33.3,13.3
73,33.37,11.52
75,33.39,11.37
96,33.62,9.75
0,33.28,18.83
10,33.31,18.83
20,33.293,18.83
28,33.28,18.83
30,33.269,18.38
43,33.26,15.48
50,33.26,15.07
53,33.26,15.0
62,33.31,14.5
72,33.3,13.9
75,33.305,13.69
92,33.36,12.31
100,33.39,11.57
105,33.41,11.14
119,33.45,10.37
125,33.454,10.09
142,33.49,9.48
150,33.554,9.37
169,33.73,9.22
200,33.923,8.72
206,33.95,8.62
250,34.038,8.15
256,34.04,8.09
300,34.04,7.42
334,34.04,6.92
400,34.109,6.39
434,34.15,6.2
500,34.187,5.82
573,34.23,5.4
0,33.48,19.44
9,33.44,19.44
10,33.441,19.42
20,33.452,19.25
27,33.46,19.13
30,33.398,18.4
41,33.24,15.34
50,33.29,13.48
51,33.3,13.32
59,33.35,12.5
69,33.35,11.8
75,33.392,11.26
86,33.5,10.38
99,33.6,9.97
100,33.607,9.94
112,33.68,9.6
125,33.726,9.32
134,33.75,9.17
150,33.805,8.95
160,33.84,8.83
195,33.96,8.36
200,33.972,8.3
244,34.05,7.86
250,34.059,7.8
300,34.121,7.38
319,34.14,7.24
400,34.21,6.71
415,34.22,6.63
500,34.264,6.28
549,34.29,6.08
0,33.48,20.48
10,33.41,20.45
20,33.425,19.99
29,33.44,19.58
30,33.418,19.24
43,33.24,15.08
50,33.233,14.77
53,33.23,14.64
63,33.2,13.68
72,33.28,13.2
75,33.297,13.03
92,33.38,11.82
100,33.436,11.0
106,33.48,10.4
119,33.55,9.54
125,33.611,9.45
142,33.73,9.19
150,33.786,9.1
171,33.91,8.87
200,34.012,8.55
208,34.03,8.46
250,34.069,7.91
260,34.07,7.78
300,34.083,7.28
339,34.1,6.87
400,34.171,6.61
439,34.22,6.52
500,34.258,6.19
581,34.31,5.76
0,33.45,20.78
10,33.48,20.75
20,33.495,20.48
30,33.51,20.2
40,33.27,16.1
50,33.28,15.47
60,33.17,14.18
69,33.16,14.1
75,33.136,13.69
84,33.12,12.88
98,33.22,11.74
100,33.235,11.54
112,33.33,10.48
125,33.407,9.96
135,33.47,9.78
150,33.649,9.48
163,33.8,9.26
196,33.93,8.62
200,33.94,8.57
244,34.02,8.1
250,34.03,8.05
300,34.104,7.62
321,33.96,7.46
400,34.208,6.79
417,34.22,6.66
500,34.245,6.27
545,34.26,6.06
0,33.47,21.71
10,33.47,21.45
11,33.47,21.42
20,33.239,17.96
30,33.17,13.79
40,33.28,12.38
49,33.33,12.1
50,33.344,12.07
59,33.46,11.82
69,33.48,11.65
75,33.491,11.41
83,33.51,11.06
98,33.56,10.7
100,33.572,10.68
113,33.65,10.61
125,33.697,10.51
135,33.73,10.42
150,33.787,10.33
163,33.84,10.25
196,34.0,9.95
200,34.016,9.91
243,34.14,9.44
250,34.147,9.35
300,34.155,8.7
318,34.16,8.46
400,34.193,7.37
413,34.2,7.21
500,34.253,6.61
541,34.28,6.32
0,33.44,20.9
10,33.24,
20,33.29,15.86
29,33.22,13.9
30,33.228,13.8
39,33.3,13.28
49,33.26,12.6
50,33.273,12.54
58,33.4,12.09
75,33.469,11.13
78,33.47,10.99
97,33.55,10.66
100,33.564,10.63
125,33.68,10.39
149,33.78,10.12
150,33.785,10.12
170,33.88,10.04
195,33.91,9.64
200,33.92,9.55
242,34.02,8.88
250,34.044,8.82
294,34.16,8.47
300,34.17,8.36
342,34.22,7.6
392,34.25,7.12
0,33.78,22.28
9,33.8,22.27
10,33.796,22.13
20,33.74,20.35
28,33.7,18.48
30,33.689,18.13
38,33.66,16.75
0,33.85,22.54
10,33.84,22.54
20,33.817,22.04
29,33.78,21.18
30,33.773,21.03
47,33.68,18.38
50,33.68,18.1
70,33.68,16.21
0,33.77,22.98
9,33.8,22.98
10,33.799,22.98
20,33.788,22.96
28,33.78,22.94
30,33.776,22.88
46,33.75,22.36
50,33.759,21.74
69,33.86,18.78
0,33.88,23.34
10,33.84,22.84
20,33.84,22.78
29,33.84,22.73
30,33.844,22.73
48,33.92,22.7
0,33.8,22.42
9,33.78,22.43
10,33.783,22.43
20,33.817,22.43
27,33.84,22.43
30,33.769,21.62
40,33.58,18.65
48,33.56,17.17
50,33.57,16.99
56,33.6,16.63
65,33.58,15.94
75,33.543,14.89
82,33.53,14.18
93,33.56,13.46
100,33.579,13.0
106,33.59,12.59
125,33.56,10.97
126,33.56,10.89
150,33.76,10.5
182,34.27,11.12
200,34.367,11.02
225,34.45,10.89
250,34.423,10.29
293,34.33,9.14
300,34.331,9.04
381,34.38,8.24
400,34.372,8.0
500,34.342,6.72
509,34.34,6.6
0,33.73,22.1
9,33.76,22.1
10,33.759,22.1
20,33.748,22.11
28,33.74,22.12
30,33.711,21.74
42,33.57,19.12
50,33.55,17.81
51,33.55,17.68
60,33.55,16.95
69,33.58,16.48
75,33.65,16.17
88,33.78,15.26
100,33.757,13.93
101,33.75,13.8
115,33.55,11.88
125,33.572,10.99
136,33.68,10.44
150,33.901,10.6
162,34.05,10.74
197,,10.58
200,34.331,10.57
245,34.52,10.4
250,34.517,10.33
300,34.44,9.56
322,34.38,9.16
400,34.382,8.18
417,34.39,7.99
500,34.368,7.07
549,34.36,6.53
0,33.56,21.63
10,33.58,21.63
20,33.557,20.64
29,33.53,19.21
30,33.53,19.01
43,33.53,16.51
50,33.538,15.74
53,33.54,15.46
62,33.55,14.51
71,33.65,13.49
75,33.65,13.09
90,33.65,11.98
100,33.777,11.64
104,33.84,11.6
117,34.04,11.82
125,34.081,11.79
140,34.14,11.72
150,34.203,11.64
167,34.29,11.39
200,34.236,10.32
203,34.23,10.22
250,34.457,10.11
253,34.47,10.1
300,34.47,9.45
330,34.47,8.95
400,34.435,8.13
426,34.42,7.86
500,34.406,7.11
559,34.4,6.52
0,33.71,22.02
10,33.73,22.02
20,33.718,21.88
27,33.71,21.78
30,33.74,21.13
41,33.86,18.68
49,33.83,17.88
50,33.829,17.82
58,33.82,17.4
67,33.78,16.91
75,33.749,16.04
84,33.73,14.88
96,33.73,13.46
100,33.848,13.48
109,34.07,13.54
125,34.118,13.12
129,34.13,12.98
150,34.244,12.59
154,34.27,12.54
186,34.52,12.25
200,34.517,11.91
231,34.51,11.0
250,34.462,10.43
300,34.345,9.14
302,34.34,9.1
392,34.4,8.36
400,34.401,8.28
500,34.415,7.35
522,34.42,7.14
0,33.71,22.17
10,33.68,22.16
20,33.68,22.07
28,33.68,22.0
30,33.678,21.85
41,33.67,20.51
50,33.69,18.73
59,33.74,17.14
68,33.62,16.11
75,33.612,15.45
86,33.6,14.8
98,33.8,14.82
100,33.801,14.75
112,33.81,13.94
125,33.641,12.24
133,33.55,11.19
150,33.601,10.3
158,33.66,10.12
192,33.91,9.54
200,33.947,9.43
240,34.08,8.96
250,34.112,8.87
300,34.242,8.42
314,34.27,8.31
400,34.339,7.48
408,34.34,7.41
500,34.352,6.73
541,34.36,6.42
0,33.95,22.49
10,33.94,22.48
20,33.954,22.49
29,33.97,22.5
30,33.975,22.5
42,34.03,22.52
50,33.854,20.71
52,33.81,20.2
61,33.73,18.94
70,33.68,17.96
75,33.68,17.51
87,33.68,16.7
100,33.71,16.22
114,33.69,15.32
125,33.64,14.34
136,33.6,13.24
150,33.62,11.76
161,33.66,10.75
195,33.71,9.8
200,33.742,9.68
242,34.04,8.86
250,34.067,8.73
300,34.171,8.05
317,34.18,7.86
400,34.281,7.07
411,34.29,6.98
500,34.323,6.45
542,34.34,6.2
0,33.67,21.94
10,33.67,21.95
20,33.681,21.96
28,33.69,21.96
30,33.682,21.55
41,33.68,19.11
50,33.72,18.1
59,33.72,17.65
68,33.85,17.49
75,33.858,17.37
85,33.87,16.92
97,33.66,15.54
100,33.655,15.12
110,33.68,13.74
125,33.611,12.34
131,33.58,11.92
150,33.617,10.81
155,33.64,10.58
190,33.87,9.5
200,33.914,9.3
236,34.04,8.8
250,34.092,8.69
300,34.247,8.4
309,34.27,8.37
400,34.34,7.6
402,34.34,7.58
500,34.353,6.65
535,34.36,6.32
0,33.62,21.8
10,33.64,21.76
20,33.618,21.72
28,33.6,21.68
30,33.586,21.3
41,33.57,18.84
50,33.66,17.24
59,33.73,16.75
68,33.84,16.28
75,33.753,15.32
86,33.59,13.58
97,33.62,12.31
100,33.654,12.28
110,33.72,12.16
125,33.888,11.88
131,33.95,11.76
150,34.013,11.5
155,34.02,11.41
185,34.14,10.28
200,34.194,10.01
228,34.28,9.76
250,34.355,9.72
299,34.43,9.64
300,34.43,9.64
318,34.43,9.6
400,34.461,9.06
491,34.5,8.46
0,33.75,22.06
10,33.814,22.04
11,33.82,22.04
20,33.775,21.91
29,33.73,21.78
30,33.72,21.41
43,33.75,16.5
50,33.796,15.45
52,33.81,15.26
61,33.94,14.36
70,33.99,14.22
75,33.95,13.85
88,33.83,12.6
100,33.85,11.61
102,33.86,11.47
116,33.93,11.07
125,33.937,10.78
137,33.94,10.4
150,33.985,10.09
163,34.04,9.82
197,34.15,9.02
200,34.162,8.99
245,34.31,8.72
250,34.319,8.69
300,34.368,8.33
320,34.37,8.16
400,34.363,7.23
415,34.36,7.05
500,34.39,6.45
550,34.41,6.1
0,33.82,22.23
10,33.829,22.22
11,33.83,22.22
20,33.816,22.17
30,33.8,22.12
44,33.8,18.54
50,33.855,17.6
53,33.87,17.18
62,33.78,15.64
71,33.83,15.28
75,33.863,15.2
90,33.95,14.76
100,33.948,14.08
103,33.93,13.8
117,33.68,11.9
125,33.682,11.38
139,33.78,10.92
150,33.855,10.59
166,33.97,10.22
200,34.174,9.59
201,34.18,9.58
248,34.51,9.88
250,34.514,9.87
300,34.496,9.42
324,34.49,9.06
400,34.41,7.99
